Timepoint	r-20170110-M1-0.25nM-High resolution-3h-4.csv-9	r-20170110-M1-0.25nM-High resolution-3h-4.csv-11	r-20170110-M1-0.25nM-High resolution-3h-5.csv-10	r-20170110-M1-0.25nM-High resolution-3h-5.csv-22	r-20170110-M1-0.25nM-High resolution-3h-5.csv-37	r-20170110-M1-0.25nM-High resolution-3h-5.csv-38
680	NaN	1.976	NaN	NaN	NaN	NaN
681	NaN	1.983	NaN	NaN	NaN	NaN
682	NaN	1.989	NaN	NaN	NaN	NaN
683	NaN	1.994	NaN	NaN	NaN	NaN
684	NaN	1.998	NaN	NaN	NaN	NaN
685	NaN	2.000	NaN	NaN	NaN	NaN
686	NaN	2.001	NaN	NaN	NaN	NaN
687	NaN	2.000	NaN	NaN	NaN	NaN
688	NaN	1.997	NaN	NaN	NaN	NaN
689	NaN	1.993	NaN	NaN	NaN	NaN
690	NaN	1.988	NaN	NaN	NaN	NaN
691	NaN	1.985	NaN	NaN	NaN	NaN
692	NaN	1.984	NaN	NaN	NaN	NaN
693	NaN	1.987	NaN	NaN	NaN	NaN
694	NaN	1.995	NaN	NaN	NaN	NaN
695	NaN	2.008	NaN	NaN	NaN	NaN
696	NaN	2.025	NaN	NaN	NaN	NaN
